RO Name/Nom du DS,Occupation/Profession,Electoral District Name/Nom de circonscription,Electoral District Number/Numéro de circonscription,Province,Residence/Résidence
"Jo-Anne G. Doty","Office Coordinator/Coordonnatrice de bureau","Winnipeg Centre/Winnipeg-Centre","46011","Manitoba","Winnipeg"
"Erlinda M. Dionisio","Health Care Worker/Responsable de la santé","Winnipeg North/Winnipeg-Nord","46012","Manitoba","Winnipeg"
"Syva-Lee Wildenmann","Retired/Retraitée","Winnipeg South/Winnipeg-Sud","46013","Manitoba","Winnipeg"
"Johanna Gail Denesiuk","Retired/Retraitée","Winnipeg South Centre/Winnipeg-Centre-Sud","46014","Manitoba","Winnipeg"
"Patricia Dawn Janko","Retired/Retraitée","Battlefords--Lloydminster","47001","Saskatchewan","North Battleford"
"Linda Louise Dykes","College Administrator/Administratrice de collège","Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek","47004","Saskatchewan","Saskatoon"
"Helen Maria Arnold","Retired/Retraitée","Cypress Hills--Grasslands","47002","Saskatchewan","Swift Current"
"Marlene Wolkosky","Retired/Retraitée","Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill","47003","Saskatchewan","La Ronge"
"Brian Elwin Harrison","Retired/Retraité","Moose Jaw--Lake Centre--Lanigan","47005","Saskatchewan","Moose Jaw"
"Barry Walter Hollick","Teacher/Enseignant","Prince Albert","47006","Saskatchewan","Prince Albert"
"Roger Carriere","Retired/Retraité","Regina--Lewvan","47007","Saskatchewan","Regina"
"Susan Adel heid Kalcsits","Consultant/Consultante","Regina--Qu'Appelle","47008","Saskatchewan","Edgeley"
"Debra Montanini","Chief Operating Officer/Directrice générale","Regina--Wascana","47009","Saskatchewan","Regina"
"Dianne Celestine Zimmerman","Self-employed/Travailleuse autonome","Saskatoon West/Saskatoon-Ouest","47012","Saskatchewan","Saskatoon"
"Danny Boyer","Consultant","Saskatoon--Grasswood","47010","Saskatchewan","Saskatoon"
"Marvin William Dutton","Retired/Retraité","Saskatoon--University","47011","Saskatchewan","Saskatoon"
"Margaret Mary Tuchscherer","Self-employed/Travailleuse autonome","Souris--Moose Mountain","47013","Saskatchewan","Weyburn"
"Cynthia C. Kachur","Bookkeeper/Comptable","Yorkton--Melville","47014","Saskatchewan","Yorkton"
"Loren Dawn Braat","Self-employed/Travailleuse autonome","Banff--Airdrie","48001","Alberta","Airdrie"
"Clarence Kerry Grettum","Retired/Retraité","Battle River--Crowfoot","48002","Alberta","Bittern Lake"
"Daphne Louise Anstey-Martin","Commercial Account Manager/Gestionnaire de comptes commerciaux","Bow River","48003","Alberta","Newell County"
"Kevin Charles Allen","Art Administrator/Administrateur d'Art","Calgary Centre/Calgary-Centre","48004","Alberta","Calgary"
"Sean McLennan","IT Security Consultant/Consultant en securite pour la TI","Calgary Confederation","48005","Alberta","Calgary"
"Robert John Gentles","Financial Director/Directeur financier","Calgary Forest Lawn","48006","Alberta","Calgary"
"Jacqueline Eva (Jackie) Nixon","Business/Affaires","Calgary Heritage","48007","Alberta","Calgary"
"Cheryl Schuett","Administration","Calgary Midnapore","48008","Alberta","Calgary"
"Merilyn Belle O'Bryan","Retired/Retraitée","Calgary Nose Hill","48009","Alberta","Calgary"
"Barbara Lynne Hodgson","Music Teacher/Enseignant de musique","Calgary Rocky Ridge","48010","Alberta","Calgary"
"Michelle Katherine Groff","Medical Office Administrator/Administratrice de cabinet médical","Calgary Shepard","48011","Alberta","Calgary"
"Curtis Clinton Lawson","Retired/Retraité","Calgary Signal Hill","48012","Alberta","Calgary"
"Naushmeen Ameera Karbani","Office Adminstrator/Administratrice de bureau","Calgary Skyview","48013","Alberta","Calgary"
"Dilara Yegani","Consultant Instructor/Instructrice Consultante","Edmonton Centre/Edmonton-Centre","48014","Alberta","Edmonton"
"Will Gerard Chmilar","Consultant","Edmonton Griesbach","48015","Alberta","Edmonton"
"Benedicta Pui","Senior Management Assistant/Adjointe de la haute direction","Edmonton Manning","48016","Alberta","Edmonton"
"Nancy Siever*","Business Owner/Propriétaire d'entreprise","Edmonton Mill Woods","48017","Alberta","Edmonton"
"Russell James Foster","Retired Educator/Retraité - Education","Edmonton Riverbend","48018","Alberta","Edmonton"
"John L. Edey","Retired/Retraité","Edmonton Strathcona","48019","Alberta","Edmonton"
"Pamela Ursuliak","Self-employed/Travailleure autonome","Edmonton West/Edmonton-Ouest","48020","Alberta","Edmonton"
"Colette Adele Williams","Homemaker/Femme au foyer","Edmonton--Wetaskiwin","48021","Alberta","Edmonton"
"JoAnn Caroline Partaker","Retired/Retraitée","Foothills","48022","Alberta","Okotoks"
"Nicole Chantal Marie Dunn","Homemaker/Femme au foyer","Fort McMurray--Cold Lake","48023","Alberta","Fort McMurray"
"Brennan David Thompson","Student/Étudiant","Grande Prairie--Mackenzie","48024","Alberta","Grande Prairie"
"Maureen Philomena Sullivan","Chiropodist/Podologiste","Lakeland","48025","Alberta","Lamont"
"David C. Walters","Teacher/Enseignant","Lethbridge","48026","Alberta","Lethbridge"
"Randal William Drefs","Purchasing Agent/Agent d'approvisionnement","Medicine Hat--Cardston--Warner","48027","Alberta","Medicine Hat"
"James Colin Craig","Retired/Retraité","Peace River--Westlock","48028","Alberta","Westlock"
"Marvin Beier","Financial Consultant/Conseiller financier","Red Deer--Lacombe","48030","Alberta","Ponoka"
"Frederick Joseph Gorman","Retired Publisher/Éditeur retraité","Red Deer--Mountain View","48029","Alberta","Red Deer"
"William Wright","Retired/Retraité","St. Albert--Edmonton","48031","Alberta","St. Albert"
"James Arthur Retallack","Retired/Retraité","Sherwood Park--Fort Saskatchewan","48032","Alberta","Sherwood Park"
"Fred Cosgrove","Groundskeeper/Gardien de terrain","Sturgeon River--Parkland","48033","Alberta","Bon Accord"
"Norma E. Fahl","Retired/Retraitée","Yellowhead","48034","Alberta","Hinton"
"Phillip Joseph Dodd","Supervisor, Canada Revenue Agency/Superviseur, Agence du revenu du Canada","Abbotsford","59001","British Columbia/Colombie-Britannique","Abbotsford"
"Vicki Louise Bradbury","Retired/Retraitée","Burnaby North--Seymour/Burnaby-Nord--Seymour","59002","British Columbia/Colombie-Britannique","Burnaby"
"Vivian T. Price","Retired/Retraitée","Burnaby South/Burnaby-Sud","59003","British Columbia/Colombie-Britannique","Burnaby"
"Lorraine E. Grant","Retired/Retraitée","Cariboo--Prince George","59004","British Columbia/Colombie-Britannique","Prince George"
"Basil Skodyn","Retired/Retraité","Central Okanagan--Similkameen--Nicola","59005","British Columbia/Colombie-Britannique","Kelowna"
"Constance Barker","Retired/Retraitée","Chilliwack--Hope","59006","British Columbia/Colombie-Britannique","Chilliwack"
"Keanu Howarth","Student/Étudiant","Cloverdale--Langley City","59007","British Columbia/Colombie-Britannique","Coquitlam"
"Bill Wong","Semi-Retired Realtor/Semi-retraité, Agent immobilier","Coquitlam--Port Coquitlam","59008","British Columbia/Colombie-Britannique","Port Coquitlam"
"Ann Lynn Chandler","Semi-retired/Semi-retraitée","Courtenay--Alberni","59009","British Columbia/Colombie-Britannique","Alberni-Clayoquot B"
"Cassandra McClarnon","Senior Voting Analyst/Analyste de scrutin principale","Cowichan--Malahat--Langford","59010","British Columbia/Colombie-Britannique","Langford"
"Charlene Meehan","Retired/Retraitée","Delta","59011","British Columbia/Colombie-Britannique","Delta"
"Kerry Fedosenko","Marriage Commissioner/Commissaire de mariage","Esquimalt--Saanich--Sooke","59026","British Columbia/Colombie-Britannique","Sooke"
"John Malcolm Wadley","Retired Police Officer/Agent de police retraité","Fleetwood--Port Kells","59012","British Columbia/Colombie-Britannique","Surrey"
"Geoffrey Collier","Retired/Retraité","Kamloops--Thompson--Cariboo","59013","British Columbia/Colombie-Britannique","Kamloops"
"Wendy Creelman","Principal Consulting/Consultante principale","Kelowna--Lake Country","59014","British Columbia/Colombie-Britannique","Kelowna"
"Robert L. Switzer","Retired/Retraité","Kootenay--Columbia","59015","British Columbia/Colombie-Britannique","Nelson"
"Cathy Li","Retired/Retraitée","Langley--Aldergrove","59016","British Columbia/Colombie-Britannique","Langley"
"Kathi Kopan","Reserve Officer in the Canadian Armed Forces/Officier de réserve dans les Forces armées canadiennes","Mission--Matsqui--Fraser Canyon","59017","British Columbia/Colombie-Britannique","Abbotsford"
"Dilbar Rupa","Service","Nanaimo--Ladysmith","59018","British Columbia/Colombie-Britannique","Nanaimo"
"Raymond Eldon Wilson","Office Assistant/Adjoint de bureau","New Westminster--Burnaby","59019","British Columbia/Colombie-Britannique","New Westminster"
"William M. Irwin","Sales Management/Gestion des ventes","North Island--Powell River","59037","British Columbia/Colombie-Britannique","Campbell River"
"Sharon G. Morrison","Retired/Retraitée","North Okanagan--Shuswap","59020","British Columbia/Colombie-Britannique","Vernon"
"Tami Ann Reilly","Business Person/Femme d'affaires","North Vancouver","59021","British Columbia/Colombie-Britannique","North Vancouver"
"Kathleen Ann Booth","Technical Writting/Rédactrice technique","Pitt Meadows--Maple Ridge","59022","British Columbia/Colombie-Britannique","Maple Ridge"
"Jane Norah Pickering","Retired/Retraitée","Port Moody--Coquitlam","59023","British Columbia/Colombie-Britannique","Port Moody"
"Fredericus A.M. Feddema","Retired/Retraité","Prince George--Peace River--Northern Rockies","59024","British Columbia/Colombie-Britannique","Dawson Creek"
"Albert Yan Wei","Director of Human Resources/Directeur des ressources humaines","Richmond Centre/Richmond-Centre","59025","British Columbia/Colombie-Britannique","Richmond"
"Donna Jean Davidson","Consultant/Consultante","Saanich--Gulf Islands","59027","British Columbia/Colombie-Britannique","Saanichton"
"Warren Edward Wilson","Retired/Retraité","Skeena--Bulkley Valley","59028","British Columbia/Colombie-Britannique","Terrace"
"Roberta Mary Post","Retired - Marriage Commissioner/Retraité - Commissaire de mariage","South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest","59029","British Columbia/Colombie-Britannique","Rossland"
"Mary Elizabeth Wright","Retired/Retraitée","South Surrey--White Rock/Surrey-Sud--White Rock","59030","British Columbia/Colombie-Britannique","White Rock"
"Michael H. Cohene","Retired/Retraité","Steveston--Richmond East/Steveston--Richmond-Est","59031","British Columbia/Colombie-Britannique","Richmond"
"Roddy James McRae","Realtor/Agent immobilier","Surrey Centre/Surrey-Centre","59032","British Columbia/Colombie-Britannique","Surrey"
"Madurai Rajoo","Realtor/Agent immobilier","Surrey--Newton","59033","British Columbia/Colombie-Britannique","Surrey"
"Rita Lorraine Douglas","Retired/Retraitée","Vancouver Centre/Vancouver-Centre","59034","British Columbia/Colombie-Britannique","Vancouver"
"Philip Chan","Consultant","Vancouver East/Vancouver-Est","59035","British Columbia/Colombie-Britannique","Vancouver"
"Maria A. Cavezza","Business Travel Manager/Gestionnaire de voyages d'affaires","Vancouver Granville","59036","British Columbia/Colombie-Britannique","Vancouver"
"Joyce Kowalyshyn","Retired/Retraité","Vancouver Kingsway","59038","British Columbia/Colombie-Britannique","Vancouver"
"Ulrike Radermacher","Researcher Project-Manager/Gestionnaire de projet de recherche","Vancouver Quadra","59039","British Columbia/Colombie-Britannique","Vancouver"
"Rizwana Jiwa","Consultant/Consultante","Vancouver South/Vancouver-Sud","59040","British Columbia/Colombie-Britannique","Vancouver"
"Eric Burkle","Retired/Retraité","Victoria","59041","British Columbia/Colombie-Britannique","Victoria"
"Charles John Jeffery","Operations Manager/Gestionnaire des opérations","West Vancouver--Sunshine Coast--Sea to Sky Country","59042","British Columbia/Colombie-Britannique","Gibsons"
"Michael James Lauer","Civil Servant/Fonctionnaire d'Etat","Yukon","60001","Yukon","Whitehorse"
"Elizabeth A. Wyman","Businesswoman/Femme d'affaires","Northwest Territories/Territoires du Nord-Ouest","61001","Northwest Territories/Territoires du Nord-Ouest","Yellowknife"
"Valérie Beaulieu Blanchette","Project Manager/Gestionnaire de projets","Nunavut","62001","Nunavut","Iqaluit"
